HGW + SUB,fixed,HGW parent,SUB parent,parent,DDC,KISS lookup,KISS JSON,SUB lookup,SUB JSON,HGW lookup,HGW JSON,complete JSON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vifanord-ROOT,vifanord-ROOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
•XX,0XX,vifanord-ROOT,vifanord-ROOT,vifanord-ROOT,0**,#N/A,{},,,{},{},{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
••X,00X,0XX,0XX,0XX,00*,#N/A,{},,,{},{},{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
••1,001,00X,00X,00X,001,#N/A,{},,,"{""nord"":""lklhgw=\""ak 1?\"" or lklhgw=\""ak 2?\"" or (lklhgw=\""ak 3?\"" not lklhgw=\""ak 39?\"")\"" or lklhgw=\""qp 20?\"" or lklhgw=\""qp 21?\"" or lklhgw=\""nu 1500\"" or lklhgw=\""nu 2000\"""",""sca"":""lklhgw=\""ak 341?\"" or lklhgw=\""ak 342?\"" or lklhgw=\""ak 3430?\"""",""dk"":""lklhgw=\""ak 3415?\"""",""ic"":""lklhgw=\""ak 3423?\"""",""gro"":""lklhgw=\""ak 3420?\"""",""se"":""lklhgw=\""ak 3430?\"""",""no"":""lklhgw=\""ak 3425?\"""",""fi"":""lklhgw=\""ak 3435?\"""",""bal"":""lklhgw=\""ak 1?\"" or lklhgw=\""ak 2?\"" or (lklhgw=\""ak 3?\"" not lklhgw=\""ak 39?\"")\"" or lklhgw=\""qp 20?\"" or lklhgw=\""qp 21?\"" or lklhgw=\""nu 1500\"" or lklhgw=\""nu 2000\"""",""all"":""lklhgw=\""ak 1?\"" or lklhgw=\""ak 2?\"" or (lklhgw=\""ak 3?\"" not lklhgw=\""ak 39?\"")\"" or lklhgw=\""qp 20?\"" or lklhgw=\""qp 21?\"" or lklhgw=\""nu 1500\"" or lklhgw=\""nu 2000\""""}","{""nord"":""lklhgw=\""ak 1?\"" or lklhgw=\""ak 2?\"" or (lklhgw=\""ak 3?\"" not lklhgw=\""ak 39?\"")\"" or lklhgw=\""qp 20?\"" or lklhgw=\""qp 21?\"" or lklhgw=\""nu 1500\"" or lklhgw=\""nu 2000\"""",""sca"":""lklhgw=\""ak 341?\"" or lklhgw=\""ak 342?\"" or lklhgw=\""ak 3430?\"""",""dk"":""lklhgw=\""ak 3415?\"""",""ic"":""lklhgw=\""ak 3423?\"""",""gro"":""lklhgw=\""ak 3420?\"""",""se"":""lklhgw=\""ak 3430?\"""",""no"":""lklhgw=\""ak 3425?\"""",""fi"":""lklhgw=\""ak 3435?\"""",""bal"":""lklhgw=\""ak 1?\"" or lklhgw=\""ak 2?\"" or (lklhgw=\""ak 3?\"" not lklhgw=\""ak 39?\"")\"" or lklhgw=\""qp 20?\"" or lklhgw=\""qp 21?\"" or lklhgw=\""nu 1500\"" or lklhgw=\""nu 2000\"""",""all"":""lklhgw=\""ak 1?\"" or lklhgw=\""ak 2?\"" or (lklhgw=\""ak 3?\"" not lklhgw=\""ak 39?\"")\"" or lklhgw=\""qp 20?\"" or lklhgw=\""qp 21?\"" or lklhgw=\""nu 1500\"" or lklhgw=\""nu 2000\""""}",{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
••2,002,00X,00X,00X,002,"{""nord"":""kiss=\""kom 918.900\"""",""sca"":""kiss=\""kom 918.900\"""",""dk"":""kiss=\""kom 885*\"" or kiss=\""kom 896*\"" or kiss=\""kom 901*\"" or kiss=\""kom 918.900\"""",""gro"":""kiss=\""kom 918.900\"""",""ic"":""kiss=\""kom 901*\"" or kiss=\""kom 918.900\"""",""fae"":""kiss=\""kom 918.900\"""",""se"":""kiss=\""kom 885*\"" or kiss=\""kom 896*\"" or kiss=\""kom 901*\"" or kiss=\""kom 918.900\"""",""no"":""kiss=\""kom 896*\"" or kiss=\""kom 901*\"" or kiss=\""kom 918.900\"""",""fi"":""kiss=\""kom 885*\"" or kiss=\""kom 896*\"" or kiss=\""kom 901*\""""}","{""nord"":""kiss=\""kom 918.900\"""",""sca"":""kiss=\""kom 918.900\"""",""dk"":""kiss=\""kom 885*\"" or kiss=\""kom 896*\"" or kiss=\""kom 901*\"" or kiss=\""kom 918.900\"""",""gro"":""kiss=\""kom 918.900\"""",""ic"":""kiss=\""kom 901*\"" or kiss=\""kom 918.900\"""",""fae"":""kiss=\""kom 918.900\"""",""se"":""kiss=\""kom 885*\"" or kiss=\""kom 896*\"" or kiss=\""kom 901*\"" or kiss=\""kom 918.900\"""",""no"":""kiss=\""kom 896*\"" or kiss=\""kom 901*\"" or kiss=\""kom 918.900\"""",""fi"":""kiss=\""kom 885*\"" or kiss=\""kom 896*\"" or kiss=\""kom 901*\""""}",,,"{""nord"":""lklhgw=\""am 4?\"" or lklhgw=\""am 5?\"" or lklhgw=\""am 6?\"" or lklhgw=\""am 7?\"" or lklhgw=\""am 8?\"" or lklhgw=\""am 9?\"" or lklhgw=\""an 14?\"" or lklhgw=\""an 15?\"" or lklhgw=\""an 16?\"" or lklhgw=\""an 17?\"" or lklhgw=\""an 18?\"" or lklhgw=\""an 19?\"" or lklhgw=\""an 2?\"" or lklhgw=\""an 3?\"" or lklhgw=\""an 4?\"""",""sca"":""(lklhgw=\""an 1622?\"" not lklhgw=\""an 16227\"")\"" or (lklhgw=\""an 1822?\"" not lklhgw=\""an 18227\"")\"" or (lklhgw=\""an 4122?\"" not lklhgw=\""an 41227\"")\"" or (lklhgw=\""an 1!!2?\"" not lklhgw=\""an 1!!27\"")\"" or (lklhgw=\""an 2!!2?\"" not lklhgw=\""an 2!!27\"")\"" or (lklhgw=\""an 3!!2?\"" not lklhgw=\""an 3!!27\"")\"" or (lklhgw=\""an 4!!2?\"" not lklhgw=\""an 4!!27\"")"",""dk"":""lklhgw=\""an 16223\"" or lklhgw=\""an 18223\"" or lklhgw=\""an 41223\"" or lklhgw=\""an 1!!23\"" or lklhgw=\""an 2!!23\"" or lklhgw=\""an 3!!23\"" or lklhgw=\""an 4!!23\"""",""ic"":""lklhgw=\""an 16224\"" or lklhgw=\""an 18224\"" or lklhgw=\""an 41224\"" or lklhgw=\""an 1!!24\"" or lklhgw=\""an 2!!24\"" or lklhgw=\""an 3!!24\"" or lklhgw=\""an 4!!24\"""",""gro"":""lklhgw=\""an 16246\"" or lklhgw=\""an 18246\"" or lklhgw=\""an 41246 \"""",""se"":""lklhgw=\""an 16226\"" or lklhgw=\""an 18226\"" or lklhgw=\""an 41226\"" or lklhgw=\""an 1!!26\"" or lklhgw=\""an 2!!26\"" or lklhgw=\""an 3!!26\"" or lklhgw=\""an 4!!26\"""",""no"":""lklhgw=\""an 16225\"" or lklhgw=\""an 18225\"" or lklhgw=\""an 41225\"" or lklhgw=\""an 1!!25\"" or lklhgw=\""an 2!!25\"" or lklhgw=\""an 3!!25\"" or lklhgw=\""an 4!!25\"""",""fi"":""lklhgw=\""an 16227\"" or lklhgw=\""an 18227\"" or lklhgw=\""an 41227\"" or lklhgw=\""an 1!!27\"" or lklhgw=\""an 2!!27\"" or lklhgw=\""an 3!!27\"" or lklhgw=\""an 4!!27\"""",""bal"":""lklhgw=\""am 4?\"" or lklhgw=\""am 5?\"" or lklhgw=\""am 6?\"" or lklhgw=\""am 7?\"" or lklhgw=\""am 8?\"" or lklhgw=\""am 9?\"" or lklhgw=\""an 14?\"" or lklhgw=\""an 15?\"" or lklhgw=\""an 16?\"" or lklhgw=\""an 17?\"" or lklhgw=\""an 18?\"" or lklhgw=\""an 19?\"" or lklhgw=\""an 2?\"" or lklhgw=\""an 3?\"" or lklhgw=\""an 4?\"""",""all"":""lklhgw=\""am 4?\"" or lklhgw=\""am 5?\"" or lklhgw=\""am 6?\"" or lklhgw=\""am 7?\"" or lklhgw=\""am 8?\"" or lklhgw=\""am 9?\"" or lklhgw=\""an 14?\"" or lklhgw=\""an 15?\"" or lklhgw=\""an 16?\"" or lklhgw=\""an 17?\"" or lklhgw=\""an 18?\"" or lklhgw=\""an 19?\"" or lklhgw=\""an 2?\"" or lklhgw=\""an 3?\"" or lklhgw=\""an 4?\""""}","{""nord"":""lklhgw=\""am 4?\"" or lklhgw=\""am 5?\"" or lklhgw=\""am 6?\"" or lklhgw=\""am 7?\"" or lklhgw=\""am 8?\"" or lklhgw=\""am 9?\"" or lklhgw=\""an 14?\"" or lklhgw=\""an 15?\"" or lklhgw=\""an 16?\"" or lklhgw=\""an 17?\"" or lklhgw=\""an 18?\"" or lklhgw=\""an 19?\"" or lklhgw=\""an 2?\"" or lklhgw=\""an 3?\"" or lklhgw=\""an 4?\"""",""sca"":""(lklhgw=\""an 1622?\"" not lklhgw=\""an 16227\"")\"" or (lklhgw=\""an 1822?\"" not lklhgw=\""an 18227\"")\"" or (lklhgw=\""an 4122?\"" not lklhgw=\""an 41227\"")\"" or (lklhgw=\""an 1!!2?\"" not lklhgw=\""an 1!!27\"")\"" or (lklhgw=\""an 2!!2?\"" not lklhgw=\""an 2!!27\"")\"" or (lklhgw=\""an 3!!2?\"" not lklhgw=\""an 3!!27\"")\"" or (lklhgw=\""an 4!!2?\"" not lklhgw=\""an 4!!27\"")"",""dk"":""lklhgw=\""an 16223\"" or lklhgw=\""an 18223\"" or lklhgw=\""an 41223\"" or lklhgw=\""an 1!!23\"" or lklhgw=\""an 2!!23\"" or lklhgw=\""an 3!!23\"" or lklhgw=\""an 4!!23\"""",""ic"":""lklhgw=\""an 16224\"" or lklhgw=\""an 18224\"" or lklhgw=\""an 41224\"" or lklhgw=\""an 1!!24\"" or lklhgw=\""an 2!!24\"" or lklhgw=\""an 3!!24\"" or lklhgw=\""an 4!!24\"""",""gro"":""lklhgw=\""an 16246\"" or lklhgw=\""an 18246\"" or lklhgw=\""an 41246 \"""",""se"":""lklhgw=\""an 16226\"" or lklhgw=\""an 18226\"" or lklhgw=\""an 41226\"" or lklhgw=\""an 1!!26\"" or lklhgw=\""an 2!!26\"" or lklhgw=\""an 3!!26\"" or lklhgw=\""an 4!!26\"""",""no"":""lklhgw=\""an 16225\"" or lklhgw=\""an 18225\"" or lklhgw=\""an 41225\"" or lklhgw=\""an 1!!25\"" or lklhgw=\""an 2!!25\"" or lklhgw=\""an 3!!25\"" or lklhgw=\""an 4!!25\"""",""fi"":""lklhgw=\""an 16227\"" or lklhgw=\""an 18227\"" or lklhgw=\""an 41227\"" or lklhgw=\""an 1!!27\"" or lklhgw=\""an 2!!27\"" or lklhgw=\""an 3!!27\"" or lklhgw=\""an 4!!27\"""",""bal"":""lklhgw=\""am 4?\"" or lklhgw=\""am 5?\"" or lklhgw=\""am 6?\"" or lklhgw=\""am 7?\"" or lklhgw=\""am 8?\"" or lklhgw=\""am 9?\"" or lklhgw=\""an 14?\"" or lklhgw=\""an 15?\"" or lklhgw=\""an 16?\"" or lklhgw=\""an 17?\"" or lklhgw=\""an 18?\"" or lklhgw=\""an 19?\"" or lklhgw=\""an 2?\"" or lklhgw=\""an 3?\"" or lklhgw=\""an 4?\"""",""all"":""lklhgw=\""am 4?\"" or lklhgw=\""am 5?\"" or lklhgw=\""am 6?\"" or lklhgw=\""am 7?\"" or lklhgw=\""am 8?\"" or lklhgw=\""am 9?\"" or lklhgw=\""an 14?\"" or lklhgw=\""an 15?\"" or lklhgw=\""an 16?\"" or lklhgw=\""an 17?\"" or lklhgw=\""an 18?\"" or lklhgw=\""an 19?\"" or lklhgw=\""an 2?\"" or lklhgw=\""an 3?\"" or lklhgw=\""an 4?\""""}",{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
••4,004,00X,00X,00X,004,#N/A,{},,,"{""nord"":""lklhgw=\""sq?\"" or lklhgw=\""sr?\"" or lklhgw=\""ss?\"" or lklhgw=\""st?\"" or lklhgw=\""su?\"""",""bal"":""lklhgw=\""sq?\"" or lklhgw=\""sr?\"" or lklhgw=\""ss?\"" or lklhgw=\""st?\"" or lklhgw=\""su?\"""",""all"":""lklhgw=\""sq?\"" or lklhgw=\""sr?\"" or lklhgw=\""ss?\"" or lklhgw=\""st?\"" or lklhgw=\""su?\""""}","{""nord"":""lklhgw=\""sq?\"" or lklhgw=\""sr?\"" or lklhgw=\""ss?\"" or lklhgw=\""st?\"" or lklhgw=\""su?\"""",""bal"":""lklhgw=\""sq?\"" or lklhgw=\""sr?\"" or lklhgw=\""ss?\"" or lklhgw=\""st?\"" or lklhgw=\""su?\"""",""all"":""lklhgw=\""sq?\"" or lklhgw=\""sr?\"" or lklhgw=\""ss?\"" or lklhgw=\""st?\"" or lklhgw=\""su?\""""}",{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
