303;30X;Gesellschaftliche Prozesse;"{""kiel"":[""ska 200?"",""ska 326?"",""ska 464?"",""ska 628?"",""ska 862?"",""soz 475.5""],""goe"":{""fi"":"" lsg=\""7 lem 67?-lem 71?\"" or lsg=\""7 pnn 300\"" or lsg=\""7 pno 300\"" or lsg=\""7 pnp 300\"" or lsg=\""7 pnq 300\"" or lsg=\""7 pnr 300\""""}}";Social processes
304;30X;Das Sozialverhalten beeinflussende Faktoren;"{""kiel"":[""ska 932?"",""ska 180.100"",""ska 310.100"",""ska 441.100"",""ska 577?"",""ska 578"",""ska 577?"",""ska 578"",""ska 834?"",""ska 835?"",""soz 610?"",""ska 180.200"",""ska 441.200"",""ska 578k"",""ska 579?"",""ska 580?"",""ska 581?"",""ska 584?"",""ska 578k"",""ska 579?"",""ska 580?"",""ska 581?"",""ska 584?"",""ska 836?"",""ska 837?"",""ska 839?""],""goe"":{""fi"":"" lsg=\""7 lei 430\"" or lsg=\""7 fch?\"" or lsg=\""7 pnn 300\"" or lsg=\""7 pno 300\"" or lsg=\""7 pnp 300\"" or lsg=\""7 pnq 300\"" or lsg=\""7 pnr 300\""""}}";Factors effecting social behaviour
304.1;304;Allgemeines, Umwelt, Soziobiologie;"{""kiel"":[""ska 932?""],""goe"":{""fi"":"" lsg=\""7 wxo 000\"" or lsg=\""7 wq?\""""}}";General works, Environment, Sociobiology
304.61;304.6X;Zeitlich übergreifend;"{""kiel"":[""ska 180.100""],""goe"":{""fi"":"" lsg=\""7 pnn 300 \""""}}";Temporally unspecific
304.62;304.6X;Mittelalter;"{""kiel"":[""ska 310.100""],""goe"":{""fi"":"" lsg=\""7 pno 300\""""}}";Middle Ages
304.63;304.6X;Frühe Neuzeit;"{""kiel"":[""ska 441.100""],""goe"":{""fi"":"" lsg=\""7 pnp 300\""""}}";Modern history
304.64;304.6X;19. Jahrhundert;"{""kiel"":[""ska 577?"",""ska 578""],""goe"":{""fi"":"" lsg=\""7 pnq 300\""""}}";19th century
304.65;304.6X;20. Jahrhundert;"{""kiel"":[""ska 577?"",""ska 578"",""ska 834?"",""ska 835?"",""soz 610?""],""goe"":{""fi"":"" lsg=\""7 pnr 300\""""}}";20th century
304.6X;304;Bevölkerung, Demographie;"{""kiel"":[""ska 180.100"",""ska 310.100"",""ska 441.100"",""ska 577?"",""ska 578"",""ska 577?"",""ska 578"",""ska 834?"",""ska 835?"",""soz 610?""],""goe"":{""fi"":"" lsg=\""7 ld?\"" or lsg=\""7 pnn 300\"" or lsg=\""7 pno 300\"" or lsg=\""7 pnp 300\"" or lsg=\""7 pnq 300\"" or lsg=\""7 pnr 300\""""}}";Population, Demography
304.81;304.8X;Zeitlich übergreifend;"{""kiel"":[""ska 180.200""],""goe"":{""fi"":"" lsg=\""7 pnn 300\""""}}";Temporally unspecific
304.82;304.8X;Mittelalter;"{""goe"":{""fi"":"" lsg=\""7 pno 300\""""}}";Middle Ages
304.83;304.8X;Frühe Neuzeit;"{""kiel"":[""ska 441.200""],""goe"":{""fi"":"" lsg=\""7 pnp 300\""""}}";Modern History
304.84;304.8X;19. Jahrhundert;"{""kiel"":[""ska 578k"",""ska 579?"",""ska 580?"",""ska 581?"",""ska 584?""],""goe"":{""fi"":"" lsg=\""7 pnq 300\""""}}";19th century
304.85;304.8X;20. Jahrhundert;"{""kiel"":[""ska 578k"",""ska 579?"",""ska 580?"",""ska 581?"",""ska 584?"",""ska 836?"",""ska 837?"",""ska 839?""],""goe"":{""fi"":"" lsg=\""7 pnr 300\""""}}";20th century
304.8X;304;Migration;"{""kiel"":[""ska 180.200"",""ska 441.200"",""ska 578k"",""ska 579?"",""ska 580?"",""ska 581?"",""ska 584?"",""ska 578k"",""ska 579?"",""ska 580?"",""ska 581?"",""ska 584?"",""ska 836?"",""ska 837?"",""ska 839?""],""goe"":{""fi"":"" lsg=\""7 ldf?\"" or lsg=\""7 ldi?\"" or lsg=\""7 qub 500\"" or lsg=\""7 nqd 370\"" or lsg=\""7 pnn 300\"" or lsg=\""7 pno 300\"" or lsg=\""7 pnp 300\"" or lsg=\""7 pnq 300\"" or lsg=\""7 pnr 300\""""}}";Migration
305.1;305.X;Allgemeines;"{""kiel"":[""ska 180.800"",""ska 310.800""],""goe"":{""fi"":"" lsg=\""7 lee 130\"" or lsg=\""7 pnn 300\"" or lsg=\""7 pno 300\"" or lsg=\""7 pnp 300\"" or lsg=\""7 pnq 300\"" or lsg=\""7 pnr 300\""""}}";General works
305.21;305.2X;Zeitlich übergreifend;"{""kiel"":[""ska 180.600"",""ska 185.500"",""ska 185.700""],""goe"":{""fi"":"" lsg=\""7 pnn 300\""""}}";Temporally unspecific
305.22;305.2X;Mittelalter;"{""kiel"":[""ska 310.600"",""ska 314.700""],""goe"":{""fi"":"" lsg=\""7 pno 300\""""}}";Middle Ages
305.23;305.2X;Frühe Neuzeit;"{""kiel"":[""ska 441.600"",""ska 446.500"",""ska 446.600"",""ska 446.700""],""goe"":{""fi"":"" lsg=\""7 pnp 300\""""}}";Modern history
305.24;305.2X;19. Jahrhundert;"{""kiel"":[""ska 589.100"",""ska 589.200"",""ska 589.400"",""ska 604?"",""ska 605?"",""ska 597.500"",""ska 597.600"",""ska 597.700"",""ska 597.800""],""goe"":{""fi"":"" lsg=\""7 pnq 300\""""}}";19th century
305.25;305.2X;20. Jahrhundert;"{""kiel"":[""ska 589.100"",""ska 589.200"",""ska 589.400"",""ska 604?"",""ska 605?"",""ska 814.100"",""ska 814.200"",""ska 814.300"",""ska 597.500"",""ska 597.600"",""ska 597.700"",""ska 597.800""],""goe"":{""fi"":"" lsg=\""7 pnr 300\""""}}";20th century
305.2X;305.X;Schichten, Klassen, Milieu;"{""kiel"":[""ska 180.600"",""ska 185.500"",""ska 185.700"",""ska 310.600"",""ska 314.700"",""ska 441.600"",""ska 446.500"",""ska 446.600"",""ska 446.700"",""ska 589.100"",""ska 589.200"",""ska 589.400"",""ska 604?"",""ska 605?"",""ska 597.500"",""ska 597.600"",""ska 597.700"",""ska 597.800"",""ska 589.100"",""ska 589.200"",""ska 589.400"",""ska 604?"",""ska 605?"",""ska 814.100"",""ska 814.200"",""ska 814.300"",""ska 597.500"",""ska 597.600"",""ska 597.700"",""ska 597.800""],""goe"":{""fi"":"" lsg=\""7 lem 72?-lem 75?\"" or lsg=\""7 pnn 300\"" or lsg=\""7 pno 300\"" or lsg=\""7 pnp 300\"" or lsg=\""7 pnq 300\"" or lsg=\""7 pnr 300\"" or lsg=\""7 leq 800\""""}}";Social classes, Milieu
305.3;305.X;Altersgruppen;"{""kiel"":[""ska 441.800"",""ska 592.700"",""ska 825?"",""soz 534?""],""goe"":{""fi"":"" lsg=\""7 lei 44?-lei 53?\"" or lsg=\""7 pnn 300\"" or lsg=\""7 pno 300\"" or lsg=\""7 pnp 300\"" or lsg=\""7 pnq 300\"" or lsg=\""7 pnr 300\"" or lsg=\""7 quc 100\"" or lsg=\""7 quc 5?\"" or lsg=\""7 quc 6? \""""}}";Age groups
305.41;305.4X;Zeitlich übergreifend;"{""goe"":{""fi"":"" lsg=\""7 leg 350\"" or lsg=\""7 gs 000\"" or lsg=\""7 pnn 300\"" or lsg=\""7 pno 300\"" or lsg=\""7 pnp 300\"" or lsg=\""7 pnq 300\"" or lsg=\""7 pnr 300\""""}}";Temporally unspecific
305.42;305.4X;Mittelalter;"{""goe"":{""fi"":"" lsg=\""7 pno 300\"" or lsg=\""7 gs 000\""""}}";Middle Ages
305.43;305.4X;Frühe Neuzeit;"{""kiel"":[""ska 441.800""],""goe"":{""fi"":"" lsg=\""7 pnp 300\"" or lsg=\""7 gs 000\""""}}";Modern history
305.44;305.4X;19. Jahrhundert;"{""kiel"":[""ska 592?""],""goe"":{""fi"":"" lsg=\""7 pnq 300\"" or lsg=\""7 gs 000\""""}}";19th century
305.45;305.4X;20. Jahrhundert;"{""kiel"":[""ska 592?"",""ska 818?"",""ska 819?"",""soz 518?""],""goe"":{""fi"":"" lsg=\""7 pnr 300\"" or lsg=\""7 gs 000\""""}}";20th century
305.46;305.4X;Geschichte der Frau;"{""kiel"":[""ska 819?""]}";History of women
305.4X;305.X;Männer und Frauen, Geschlechterrolle;"{""kiel"":[""ska 441.800"",""ska 592?"",""ska 592?"",""ska 818?"",""ska 819?"",""soz 518?"",""ska 819?""],""goe"":{""fi"":"" lsg=\""7 leg 28?-leg 37?\"" or lsg=\""7 gs 000\"" or lsg=\""7 pnn 300\"" or lsg=\""7 pno 300\"" or lsg=\""7 pnp 300\"" or lsg=\""7 pnq 300\"" or lsg=\""7 pnr 300\"" or lsg=\""7 quc 1?-quc 4?\""""}}";Men and women, Sex role
305.81;305.8X;Zeitlich übergreifend;"{""kiel"":[""ska 180.400"",""ska 180.420"",""ska 180.440"",""ska 180.480"",""ska 180.500""]}";Temporally unspecific
305.82;305.8X;Mittelalter;"{""kiel"":[""ska 310.400""]}";Middle Ages
305.83;305.8X;Frühe Neuzeit;"{""kiel"":[""ska 441.400""]}";Modern history
305.84;305.8X;19. Jahrhundert;"{""kiel"":[""ska 586.100"",""ska 586.200"",""ska 586.600"",""ska 586.400""]}";19th century
305.85;305.8X;20. Jahrhundert;"{""kiel"":[""ska 586.100"",""ska 586.200"",""ska 586.600"",""ska 810?""]}";20th century
305.8X;305.X;Nationale und ethnische Gruppen;"{""kiel"":[""ska 180.400"",""ska 180.420"",""ska 180.440"",""ska 180.480"",""ska 180.500"",""ska 310.400"",""ska 441.400"",""ska 586.100"",""ska 586.200"",""ska 586.600"",""ska 586.400"",""ska 586.100"",""ska 586.200"",""ska 586.600"",""ska 810?""],""goe"":{""fi"":"" lsg=\""7 qub 400\"" or lsg=\""7 pnn 300\"" or lsg=\""7 pno 300\"" or lsg=\""7 pnp 300\"" or lsg=\""7 pnq 300\"" or lsg=\""7 pnr 300\"" or lsg=\""7 lei 490\"" or lsg=\""7 lew 90?-lew 92?\"" or lsg=\""7 quc 900\""""}}";National and ethnic groups
305.91;305.9X;Zeitlich übergreifend;"{""kiel"":[""ska 180.400"",""ska 180.520""],""goe"":{""fi"":"" lsg=\""7 pnn 300\""""}}";Temporally unspecific
305.92;305.9X;Mittelalter;"{""kiel"":[""ska 310.400""],""goe"":{""fi"":"" lsg=\""7 pno 300\""""}}";Middle Ages
305.93;305.9X;Frühe Neuzeit;"{""kiel"":[""ska 441.400""],""goe"":{""fi"":"" lsg=\""7 pnp 300\""""}}";Modern history
305.94;305.9X;19. Jahrhundert;"{""kiel"":[""ska 586.900"",""ska 589.600""],""goe"":{""fi"":"" lsg=\""7 pnq 300\""""}}";19th century
305.95;305.9X;20. Jahrhundert;"{""kiel"":[""ska 586.900"",""ska 589.600"",""ska 814.600""],""goe"":{""fi"":"" lsg=\""7 pnr 300\""""}}";20th century
305.9X;305.X;Randgruppen, Sonstige Gruppen;"{""kiel"":[""ska 180.400"",""ska 180.520"",""ska 310.400"",""ska 441.400"",""ska 586.900"",""ska 589.600"",""ska 586.900"",""ska 589.600"",""ska 814.600""],""goe"":{""fi"":"" lsg=\""7 qub 400\"" or lsg=\""7 pnn 300\"" or lsg=\""7 pno 300\"" or lsg=\""7 pnp 300\"" or lsg=\""7 pnq 300\"" or lsg=\""7 pnr 300\"" or lsg=\""7 lei 490\"" or lsg=\""7 lew 90?-lew 92?\"" or lsg=\""7 quc 900\""""}}";Fringe groups, Miscellaneous groups
305.X;30X;Gesellschaftliche Gruppen;"{""kiel"":[""ska 180.800"",""ska 310.800"",""ska 180.600"",""ska 185.500"",""ska 185.700"",""ska 310.600"",""ska 314.700"",""ska 441.600"",""ska 446.500"",""ska 446.600"",""ska 446.700"",""ska 589.100"",""ska 589.200"",""ska 589.400"",""ska 604?"",""ska 605?"",""ska 597.500"",""ska 597.600"",""ska 597.700"",""ska 597.800"",""ska 589.100"",""ska 589.200"",""ska 589.400"",""ska 604?"",""ska 605?"",""ska 814.100"",""ska 814.200"",""ska 814.300"",""ska 597.500"",""ska 597.600"",""ska 597.700"",""ska 597.800"",""ska 441.800"",""ska 592.700"",""ska 825?"",""soz 534?"",""ska 441.800"",""ska 592?"",""ska 592?"",""ska 818?"",""ska 819?"",""soz 518?"",""ska 819?"",""ska 180.400"",""ska 180.420"",""ska 180.440"",""ska 180.480"",""ska 180.500"",""ska 310.400"",""ska 441.400"",""ska 586.100"",""ska 586.200"",""ska 586.600"",""ska 586.400"",""ska 586.100"",""ska 586.200"",""ska 586.600"",""ska 810?"",""ska 180.400"",""ska 180.520"",""ska 310.400"",""ska 441.400"",""ska 586.900"",""ska 589.600"",""ska 586.900"",""ska 589.600"",""ska 814.600""],""goe"":{""fi"":"" lsg=\""7 lee 130\"" or lsg=\""7 pnn 300\"" or lsg=\""7 pno 300\"" or lsg=\""7 pnp 300\"" or lsg=\""7 pnq 300\"" or lsg=\""7 pnr 300\""""}}";Social groups
306.11;306.1X;Zeitlich übergreifend;"{""kiel"":[""ska 185.900""]}";Temporally unspecific
306.12;306.1X;Mittelalter;"{""kiel"":[""ska 305?"",""ska 308?"",""ska 314.900""]}";Middle Ages
306.13;306.1X;Frühe Neuzeit;"{""kiel"":[""ska 438?"",""ska 439?"",""ska 446.900""]}";Modern history
306.14;306.1X;19. Jahrhundert;"{""kiel"":[""ska 574?"",""ska 575?"",""ska 597.900""]}";19th century
306.15;306.1X;20. Jahrhundert;"{""kiel"":[""ska 574?"",""ska 575?"",""ska 597.900""]}";20th century
306.1X;306.X;Sozialgeschichte;"{""kiel"":[""ska 185.900"",""ska 305?"",""ska 308?"",""ska 314.900"",""ska 438?"",""ska 439?"",""ska 446.900"",""ska 574?"",""ska 575?"",""ska 597.900"",""ska 574?"",""ska 575?"",""ska 597.900""]}";Social history
306.2;306.X;Politische Soziologie;"{""kiel"":[""ska 807?""],""goe"":{""fi"":"" lsg=\""7 lfn?\""""}}";Poitical sociology
306.3;306.X;Wirtschaftssoziologie;"{""kiel"":[""ska 830.200""],""goe"":{""fi"":"" lsg=\""7 lm 06?\""""}}";Economic sociology
306.4;306.X;Kultursoziologie (Wissen, Religion, Bildung, Kunst, Sprache etc.);"{""goe"":{""fi"":"" lsg=\""7 lee 220\"" or lsg=\""7 pnn 500\"" or lsg=\""7 pno 500\"" or lsg=\""7 pnp 500\"" or lsg=\""7 pnq 500\"" or lsg=\""7 pnr 500\""""}}";Cultural sociology (Knowledge, Religion, Education, Art, Language etc.)
306.7;306.X;Sexualität;"{""kiel"":[""ska 824?"",""ska 960?""],""goe"":{""fi"":"" lsg=\""7 leg 230\""""}}";Sex
306.8;306.X;Familiensoziologie;"{""kiel"":[""ska 817?"",""soz 500.095""],""goe"":{""fi"":"" lsg=\""7 leg 38?-leg 42?\"" or lsg=\""7 quc 400\""""}}";Family sociology
306.9;306.X;Sonstiges;"{""goe"":{""fi"":"" lsg=\""7 ley 210\""""}}";Miscellaneous
306.X;30X;Kultur und Institutionen;"{""kiel"":[""ska 185.900"",""ska 305?"",""ska 308?"",""ska 314.900"",""ska 438?"",""ska 439?"",""ska 446.900"",""ska 574?"",""ska 575?"",""ska 597.900"",""ska 574?"",""ska 575?"",""ska 597.900"",""ska 807?"",""ska 830.200"",""ska 824?"",""ska 960?"",""ska 817?"",""soz 500.095""],""goe"":{""fi"":"" lsg=\""7 pnn 500\"" or lsg=\""7 pno 500\"" or lsg=\""7 pnp 500\"" or lsg=\""7 pnq 500\"" or lsg=\""7 pnr 500\""""}}";Culture and institutions
307;30X;Gemeinden, Gemeinschaften, Stadtsoziologie;"{""goe"":{""fi"":"" lsg=\""7 lee 18?-lee 21?\"" or lsg=\""7 pnn 300\"" or lsg=\""7 pno 300\"" or lsg=\""7 pnp 300\"" or lsg=\""7 pnq 300\"" or lsg=\""7 pnr 300\""""}}";Communities, Urban sociology
30X;vn3;Soziologie, Gesellschaft;"{""kiel"":[""ska 800?"",""soz 212?"",""ska 802?"",""ska 805?"",""ska 935?"",""ska 200?"",""ska 326?"",""ska 464?"",""ska 628?"",""ska 862?"",""soz 475.5"",""ska 932?"",""ska 180.800"",""ska 310.800"",""ska 441.800"",""ska 592.700"",""ska 825?"",""soz 534?"",""ska 807?"",""ska 830.200"",""ska 824?"",""ska 960?"",""ska 817?"",""soz 500.095""],""goe"":{""fi"":"" lsg=\""7 le?\"" or lsg=\""7 pnn 300\"" or lsg=\""7 pno 300\"" or lsg=\""7 pnp 300\"" or lsg=\""7 pnq 300\"" or lsg=\""7 pnr 300\""""}}";Sociology, Society
31X;vn3;Statistik;"{""kiel"":[""soz 970?""],""goe"":{""fi"":"" lsg=\""7 lc?\"" or lsg=\""7 lca 000\""""}}";Statistics
320.05;320.0X;20. Jahrhundert;"{""kiel"":[""ska 505?"",""ska 699?""],""goe"":{""fi"":"" lsg=\""7 pnr 200\"" or lsg=\""7 lfq?\"" or lsg=\""7 lfr?\"" or lsg=\""7 lf? \""""}}";20th century
320.0X;320.X;nach Zeit;"{""kiel"":[""pol 560.7"",""ska 647?""],""goe"":{""fi"":""( lsg=\""7 pnn 200\"" or lsg=\""7 lfq?\"" or lsg=\""7 lfr?\"" or lsg=\""7 lfs?\"") or ( lsg=\""7 lfq?\"" or lsg=\""7 lfr?\"" or lsg=\""7 lf?\"" or lsg=\""7 pno 200\"") or ( lsg=\""7 pnp 200\"" or lsg=\""7 lfq?\"" or lsg=\""7 lfr?\"" or lsg=\""7 lf? \"") or ( lsg=\""7 pnq 200\"" or lsg=\""7 lfq?\"" or lsg=\""7 lfr?\"" or lsg=\""7 lf? \"") or ( lsg=\""7 pnr 200\"" or lsg=\""7 lfq?\"" or lsg=\""7 lfr?\"" or lsg=\""7 lf? \"")""}}";according to time
